condition_id,scope,gene_specific_mapping,burden_level,burden_label,seed,run_status,skip_reason,step_count,timestep_s,duration_s,mean_planar_speed_mm_s,distance_traveled_mm,displacement_mm,walking_speed_mm_s_raw,total_distance_mm_raw,thorax_displacement_mm_raw,no_nan,no_inf,locomotion_detected,contact_detected,timestamp_valid,quaternion_valid,joint_action_trajectory_valid,metric_contract_status
pink1,organism_level_proxy,False,0.0,no_burden,0,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.0,no_burden,1,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.0,no_burden,2,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.0,no_burden,3,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.0,no_burden,4,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.0,no_burden,5,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.25,mild_proxy_burden,0,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.25,mild_proxy_burden,1,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.25,mild_proxy_burden,2,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.25,mild_proxy_burden,3,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.25,mild_proxy_burden,4,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.25,mild_proxy_burden,5,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.5,moderate_proxy_burden,0,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.5,moderate_proxy_burden,1,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.5,moderate_proxy_burden,2,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.5,moderate_proxy_burden,3,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.5,moderate_proxy_burden,4,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.5,moderate_proxy_burden,5,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.75,high_proxy_burden,0,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.75,high_proxy_burden,1,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.75,high_proxy_burden,2,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.75,high_proxy_burden,3,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.75,high_proxy_burden,4,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,0.75,high_proxy_burden,5,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,1.0,full_proxy_burden,0,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,1.0,full_proxy_burden,1,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,1.0,full_proxy_burden,2,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,1.0,full_proxy_burden,3,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,1.0,full_proxy_burden,4,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
pink1,organism_level_proxy,False,1.0,full_proxy_burden,5,BLOCKED,proxy_burden_to_action_operator_not_connected_to_current_brain_body_runner,5000,0.0001,0.5,,,,,,,,,,,,,,
